event_date,year,event_type,sub_event_type,admin1,admin2,admin3,location,latitude,longitude,fatalities,notes,month
1999-03-14,1999,Battles,Armed clash,Tigray,Eastern Tigray,Erob,Alitena,14.5264,39.5671,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",3
1999-03-15,1999,Violence against civilians,Sexual violence,Oromia,Borena,Elwaya,Boran,4.9667,37.6333,0,"Oromo ethnic group alleges harassment, torture and rape at hands of Ethiopian military",3
1999-03-15,1999,Battles,Armed clash,Tigray,Eastern Tigray,Erob,Alitena,14.5264,39.5671,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",3
1999-03-15,1999,Battles,Armed clash,Oromia,Borena,Moyale,Moyale,3.5391,39.049,100,Reports of hundreds killed in ethnic clashes between Borana and Sidama ethnic groups,3
1999-03-15,1999,Battles,Armed clash,Somali,Fafan,Jigjiga town,Jijiga,9.35,42.8,168,ONLF claims major victories against Ethiopian troops in fighting,3
1999-03-15,1999,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",3
1999-03-15,1999,Violence against civilians,Sexual violence,Oromia,West Shewa,Ambo town,Ambo,8.9833,37.85,0,"Oromo ethnic group alleges harassment, torture and rape at hands of Ethiopian military",3
1999-03-16,1999,Battles,Armed clash,Tigray,Eastern Tigray,Erob,Alitena,14.5264,39.5671,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",3
1999-03-16,1999,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",3
1999-03-21,1999,Battles,Armed clash,Oromia,Borena,Elwaya,Boran,4.9667,37.6333,47,"47 EPRDF troops killed at Chirecha. No exact date, no OLF figures.",3
1999-03-29,1999,Explosions/Remote violence,Shelling/artillery/missile attack,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,Ethiopia claims Eritrean shelling injures two civilians,3
1999-04-15,1999,Violence against civilians,Abduction/forced disappearance,Somali,Jarar,Gashamo,Misrak Gashamo,8.1179,45.3448,0,ONLF kidnaps French aid worker in Somali state,4
1999-05-14,1999,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,Ethiopia attacks Eritrean military positions,5
1999-05-15,1999,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,Ethiopian fighter planes attack Eritrean targets,5
1999-05-24,1999,Battles,Armed clash,Somali,Shabelle,Godey town,Gode,5.9506,43.5519,47,ONLF ambush Ethiopian troops,5
1999-05-27,1999,Battles,Armed clash,Oromia,Arsi,Ziway Dugda,Ogolcho,8.0385,39.0158,0,Ethiopian military claims major victory against OLF,5
1999-06-09,1999,Battles,Armed clash,Afar,Awsi-Zone 1,Elidar,Bure,12.6042,42.2718,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",6
1999-06-10,1999,Battles,Armed clash,Afar,Awsi-Zone 1,Elidar,Bure,12.6042,42.2718,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",6
1999-07-15,1999,Battles,Armed clash,Somali,Jarar,Degahabur town,Degehabur,8.2206,43.5572,0,ONLF claims major victories against Ethiopian troops in fighting,7
1999-07-15,1999,Battles,Armed clash,Somali,Shabelle,Godey town,Gode,5.9506,43.5519,40,OLF claims victory in battle with Ethiopian military,7
1999-07-17,1999,Battles,Armed clash,Oromia,East Bale,Gololcha Bale,Ketiba,7.3333,40.5333,1172,Ethiopian military claims major victory against OLF; OLF disputes this and also claims major victory,7
1999-07-20,1999,Battles,Armed clash,Oromia,Borena,Dire,El Sod,4.2,38.4,322,OLF claims victory in battle with Ethiopian military,7
1999-07-21,1999,Battles,Armed clash,Oromia,East Wellega,Haro Limu,Soghidda,10.0333,36.25,83,OLF claims victory in battle with Ethiopian military,7
1999-07-23,1999,Battles,Armed clash,Oromia,East Wellega,Haro Limu,Soghidda,10.0333,36.25,143,OLF claims victory in battle with Ethiopian military,7
1999-07-24,1999,Battles,Armed clash,Somali,Afder,Elkare-Serer,El Kure,5.726,42.4319,16,OLF claims victory in battle with Ethiopian military,7
1999-08-02,1999,Battles,Armed clash,Oromia,East Bale,Ginir,Ginir,7.1385,40.7112,30,OLF claims victory in battle with Ethiopian military,8
1999-08-02,1999,Battles,Armed clash,Oromia,North Shewa,Yaya Gulele,Wabe,9.6333,38.65,123,OLF claims victory in battle with Ethiopian military,8
